matchup,status,rule_triggered,category,model_total,model_spread,independent_total,independent_spread,base_line,underdog_scaled_line,underdog,underdog_score,is_hit,details,proj_pace,score_away,score_home,win_prob,timestamp
WSH vs PHX,HIT,Rule 4 — Under Execution,UNDER,170.0,6.5,169.92,6.35,81.75,84.35,WSH,76,True,Underdog WSH UNDER 84.35 | Actual: 76 | ✓ STAYS BELOW,81.69999999999997,81.78,88.13,7.7,2026-08-02T12:07:45.299521
CHI vs LV,HIT,Rule 3 — Over Execution,OVER,174.5,14.5,174.73,14.71,80.0,73.47,CHI,76,True,Underdog CHI OVER 73.47 | Actual: 76 | ✓ CLEARS,81.19999999999997,80.01,94.72,0.5,2026-08-02T12:07:45.299529
CON vs GS,MISS,Rule 4 — Under Execution,UNDER,157.5,4.5,157.32,4.61,76.5,78.3,CON,84,False,Underdog CON UNDER 78.30 | Actual: 84 | ✗ EXCEEDS,77.8,76.36,80.96,12.6,2026-08-02T12:07:45.299538
MIN vs DAL,HIT,Rule 4 — Under Execution,UNDER,169.5,12.5,169.48,-12.69,78.5,83.5,DAL,83,True,Underdog DAL UNDER 83.50 | Actual: 83 | ✓ STAYS BELOW,81.10000000000001,91.09,78.39,1.0,2026-08-02T12:07:45.299548
NY vs LV,MISS,Rule 3 — Over Execution,OVER,177.5,1.0,177.67,1.22,88.25,87.8,NY,85,False,Underdog NY OVER 87.80 | Actual: 85 | ✗ FAILS,82.3,88.23,89.44,26.2,2026-08-02T12:07:45.299559
POR vs WSH,HIT,Rule 4 — Under Execution,UNDER,170.5,7.5,170.37,7.55,81.5,84.5,POR,80,True,Underdog POR UNDER 84.50 | Actual: 80 | ✓ STAYS BELOW,82.19999999999997,81.41,88.96,5.4,2026-08-02T12:07:45.299568
SEA vs ATL,SYSTEM SKIP,Rule 1 — Upset Clause,,167.5,4.0,,,,,ATL,74,,Underdog Win Prob (15.1%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.299574
TOR vs SEA,HIT,Rule 3 — Over Execution,OVER,165.0,10.0,165.19,9.79,77.5,73.0,TOR,81,True,Underdog TOR OVER 73.00 | Actual: 81 | ✓ CLEARS,79.39999999999999,77.7,87.49,2.6,2026-08-02T12:07:45.299582
GS vs SEA,HIT,Rule 3 — Over Execution,OVER,165.0,2.5,165.18,2.5,81.25,80.12,GS,85,True,Underdog GS OVER 80.12 | Actual: 85 | ✓ CLEARS,78.8,81.34,83.84,20.7,2026-08-02T12:07:45.299591
GS vs TOR,MISS,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,TOR,68,False,Underdog TOR OVER 77.75 | Actual: 68 | ✗ FAILS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.299601
IND vs SEA,HIT,Rule 3 — Over Execution,OVER,170.5,2.5,170.68,2.55,84.0,82.88,IND,93,True,Underdog IND OVER 82.88 | Actual: 93 | ✓ CLEARS,80.60000000000001,84.07,86.61,20.5,2026-08-02T12:07:45.299613
LA vs GS,HIT,Rule 3 — Over Execution,OVER,166.0,12.0,166.24,12.17,77.0,71.6,LA,72,True,Underdog LA OVER 71.60 | Actual: 72 | ✓ CLEARS,79.99999999999999,77.03,89.2,1.2,2026-08-02T12:07:45.299622
MIN vs GS,HIT,Rule 3 — Over Execution,OVER,163.5,2.5,163.64,-2.41,80.5,79.38,GS,83,True,Underdog GS OVER 79.38 | Actual: 83 | ✓ CLEARS,78.49999999999999,83.02,80.62,21.1,2026-08-02T12:07:45.299631
MIN vs WSH,MISS,Rule 4 — Under Execution,UNDER,164.0,9.5,163.87,-9.63,77.25,81.05,WSH,84,False,Underdog WSH UNDER 81.05 | Actual: 84 | ✗ EXCEEDS,79.10000000000001,86.75,77.12,2.7,2026-08-02T12:07:45.299639
TOR vs NY,MISS,Rule 4 — Under Execution,UNDER,169.5,16.0,169.36,15.81,76.75,83.15,TOR,87,False,Underdog TOR UNDER 83.15 | Actual: 87 | ✗ EXCEEDS,80.8,76.78,92.59,0.3,2026-08-02T12:07:45.299648
GS vs IND,HIT,Rule 3 — Over Execution,OVER,170.5,2.5,170.68,2.45,84.0,82.88,GS,88,True,Underdog GS OVER 82.88 | Actual: 88 | ✓ CLEARS,80.60000000000001,84.11,86.57,20.9,2026-08-02T12:07:45.299684
GS vs NY,MISS,Rule 3 — Over Execution,OVER,169.0,8.5,169.12,8.34,80.25,76.42,GS,75,False,Underdog GS OVER 76.42 | Actual: 75 | ✗ FAILS,80.2,80.39,88.73,4.2,2026-08-02T12:07:45.299699
IND vs CHI,HIT,Rule 4 — Under Execution,UNDER,171.5,5.0,171.42,-4.75,83.25,85.25,CHI,85,True,Underdog CHI UNDER 85.25 | Actual: 85 | ✓ STAYS BELOW,80.89999999999999,88.09,83.33,12.1,2026-08-02T12:07:45.299713
LA vs PHX,HIT,Rule 4 — Under Execution,UNDER,171.0,9.0,170.91,8.77,81.0,84.6,LA,80,True,Underdog LA UNDER 84.60 | Actual: 80 | ✓ STAYS BELOW,82.3,81.07,89.84,3.6,2026-08-02T12:07:45.299723
